(y, x, P(y))
112.0, 658.5120634740565, -568636.8287413798
113.0, 664.6024929917224, -629885.1492500954
114.0, 670.6864630322154, -697302.9843833578
115.0, 676.7641732108973, -771471.5374363078
116.0, 682.8358190840945, -853023.2157690589
117.0, 688.9015921064176, -942645.8490435473
118.0, 694.9616795987065, -1041087.2321284933
119.0, 701.0162647258527, -1149160.0159674927
120.0, 707.0655264837902, -1267746.9712572522
121.0, 713.1096396949863, -1397806.6514306085
122.0, 719.1487750117924, -1540379.4831871735
123.0, 725.183098927057, -1696594.3146696242
124.0, 731.2127737914317, -1867675.4533510136
125.0, 737.2379578368301, -2054950.2277845794
126.0, 743.2588052055337, -2259857.1095793764
127.0, 749.2754659844646, -2483954.434308715
128.0, 755.2880862441713, -2728929.7625416773
129.0, 761.2968080821013, -2996609.924818646
130.0, 767.301769669759, -3288971.797177292
131.0, 773.3031053033679, -3608153.8567846757
132.0, 779.3009454576828, -3956468.570352424
133.0, 785.2954168426143, -4336415.67131531
134.0, 791.286642462354, -4750696.385247763
135.0, 797.2747416767007, -5202228.666688483
136.0, 803.2598302643136, -5694163.514451564
137.0, 809.24202048763, -6229902.436633359
138.0, 815.221421159208, -6813116.140890802
139.0, 821.1981377092616, -7447764.530179961
140.0, 827.1722722541799, -8138118.089017456
141.0, 833.1439236658325, -8888780.750474272
142.0, 839.1131876414717, -9704714.339546131
143.0, 845.0801567740657, -1.0591264694282193 E7
144.0, 851.0449206229007, -1.1554189572108734 E7
145.0, 857.0075657843005, -1.2599688455172855 E7
146.0, 862.968175962334, -1.3734434375272783 E7
147.0, 868.9268320393771, -1.4965607886049327 E7
148.0, 874.8836121464152, -1.6300933317607947 E7
149.0, 880.8385917329779, -1.774871745664641 E7
150.0, 886.7918436366087, -1.9317890803488433 E7
151.0, 892.7434381517758, -2.1018051566205006 E7
152.0, 898.6934430981444, -2.285951256124878 E7
153.0, 904.6419238881342, -2.4853351199771754 E7
154.0, 910.5889435936928, -2.701146274904957 E7
155.0, 916.5345630122241, -2.9346617069242463 E7
156.0, 922.4788407316173, -3.187251903708633 E7
157.0, 928.4218331943233, -3.4603872880079985 E7
158.0, 934.3635947604376, -3.75564506573207 E7
159.0, 940.304177769749, -4.074716513639181 E7
160.0, 946.2436326027196, -4.419414732963655 E7
161.0, 952.1820077403673, -4.791682896780764 E7
162.0, 958.1193498230235, -5.1936030204486705 E7
163.0, 964.0557037079463, -5.627405286086561 E7
164.0, 969.99111252577, -6.0954779537500635 E7
165.0, 975.9256177357763, -6.600377893754175 E7
166.0, 981.8592591799783, -7.14484177647265 E7
167.0, 987.792075136005, -7.731797957917072 E7
168.0, 993.7241023687842, -8.364379101471955 E7
169.0, 999.6553761810198, -9.045935578338954 E7
170.0, 1005.585930462464, -9.780049691528463 E7
171.0, 1011.515797737983, -1.0570550770635873 E8
172.0, 1017.4450092144253, -1.1421531187157086 E8
173.0, 1023.3735948262934, -1.233736334273891 E8
174.0, 1029.301583280229, -1.3322717685531527 E8
175.0, 1035.2290020983196, -1.4382581812716615 E8
176.0, 1041.15587766024, -1.552228072033204 E8
177.0, 1047.0822352442344, -1.6747498264711577 E8
178.0, 1053.0080990669592, -1.8064299903206652 E8
179.0, 1058.9334923221952, -1.9479156785370523 E8
180.0, 1064.8584372184491, -2.0998971269465265 E8
181.0, 1070.7829550154547, -2.2631103943007025 E8
182.0, 1076.7070660595969, -2.4383402230107987 E8
183.0, 1082.6307898182704, -2.626423067260031 E8
184.0, 1088.5541449131956, -2.8282502976366 E8
185.0, 1094.477149152708, -3.044771591892854 E8
